Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
11,I am a developer by profession,Yes,23,13,Yearly,31000,40070,United Kingdom,Pound sterling,GBP,Firebase;MongoDB;PostgreSQL,Firebase;MongoDB;PostgreSQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Slightly dissatisfied,I am actively looking for a job,Go;JavaScript;Swift;TypeScript,C#;JavaScript;Swift,Node.js;React Native,Node.js,"Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",No,Extremely important,Very important,Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,No,Rarely: 1-2 days per year or less,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow for Teams (private Q&A for organizations),Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",AWS;Docker;iOS;MacOS,AWS;Heroku;iOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;React.js,Angular;Angular.js;Django;React.js,Just as welcome now as I felt last year,40,10,2
12,I am a developer by profession,No,49,42,Monthly,1100,14268,Spain,European Euro,EUR,NA,NA,"Designer;Developer, front-end",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Remote work options;Office environment or company culture;Family friendliness,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript,HTML/CSS;JavaScript,.NET,.NET,Github,Github,Not sure,Neutral,Somewhat important,Better compensation,Personal network - friends or family;Directly asking current or past employees at the company,Once every few years,Not sure,No,No,Rarely: 1-2 days per year or less,NA,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Windows,2 to 9 employees,Windows;WordPress,Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Appropriate in length,No,Mathematics or statistics,ASP.NET;jQuery,ASP.NET;jQuery,Just as welcome now as I felt last year,40,7,7
13,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,53,14,Monthly,3000,38916,Netherlands,European Euro,EUR,NA,NA,"Designer;Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Financial performance or funding status of the company or organization;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Python,C;JavaScript;Python,NA,NA,NA,NA,No,NA,Not at all important/not necessary,Having a bad day (or week or month) at work,"Read company media, such as employee blogs or company culture videos",Once every few years,No,Yes,No,Rarely: 1-2 days per year or less,Start a free trial,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later,MacOS,2 to 9 employees,Linux;MacOS;Windows,MacOS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Too long,No,NA,NA,NA,A lot less welcome now than last year,36,35,20
14,I am a developer by profession,Yes,27,13,Yearly,66000,66000,United States,United States dollar,USD,Firebase;Microsoft SQL Server,Firebase;Microsoft SQL Server,"Developer, desktop or enterprise applications;Developer, front-end","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,Node.js,Node.js,"Confluence;Jira;Github;Microsoft Teams;Google Suite (Docs, Meet, etc)",Confluence;Jira;Github;Microsoft Teams,Yes,Extremely important,Somewhat important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,100 to 499 employees,Google Cloud Platform;Raspberry Pi;Windows,Google Cloud Platform;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Vue.js,Angular;Vue.js,Just as welcome now as I felt last year,40,5,1
15,I am a student who is learning to code,Yes,NA,13,NA,NA,NA,France,NA,NA,NA,MySQL;Oracle,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,NA,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options",NA,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C;Go,Bash/Shell/PowerShell;C;HTML/CSS;Java;Python;SQL,NA,NA,Github;Gitlab,Github,NA,NA,NA,NA,NA,Once every few years,Yes,NA,No,NA,Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Panic,Linux-based,NA,Linux,Linux,NA,Gay or Lesbian,No,"No, not really",NA,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,NA,4,NA
16,I am a developer by profession,Yes,45,8,Monthly,7000,108576,United Kingdom,Pound sterling,GBP,NA,PostgreSQL,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,Industry that I’d be working in;Diversity of the company or organization;Remote work options,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Go,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;R,NA,NA,NA,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",No,Extremely important,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company,Personal network - friends or family;Directly asking current or past employees at the company,Once a year,Not sure,Yes,No,Often: 1-2 days per week or more,Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,"Just me - I am a freelancer, sole proprietor, etc.",NA,AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,jQuery;React.js,Just as welcome now as I felt last year,50,37,23
17,I am a developer by profession,Yes,25,14,Yearly,79000,79000,United States,United States dollar,USD,Cassandra;Elasticsearch;MariaDB;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;Haskell;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL,C#;HTML/CSS;JavaScript;Python;SQL;VBA,.NET Core;Teraform,.NET;Node.js,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,No,No,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,20 to 99 employees,Docker;Kubernetes;Microsoft Azure,NA,I have little or no influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Gatsby;React.js;Vue.js,ASP.NET;Gatsby;jQuery;React.js;Vue.js,Just as welcome now as I felt last year,40,7,3
18,I am a developer by profession,Yes,32,12,Monthly,105000,1260000,United States,United States dollar,USD,Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;MySQL;Redis;SQLite,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,HTML/CSS;Perl,Bash/Shell/PowerShell;HTML/CSS;Perl,NA,NA,Github,Github;Slack,Not sure,Neutral,Very important,Looking to relocate,NA,Once every few years,Yes,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Do other work and come back later,Linux-based,100 to 499 employees,Linux,AWS;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,45,19,12
19,I am a developer by profession,No,24,15,Yearly,83400,83400,United States,United States dollar,USD,MariaDB;MongoDB,MariaDB;Microsoft SQL Server,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;Python;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Node.js;React Native;Unity 3D;Unreal Engine,.NET;.NET Core;Node.js,Github;Slack,Confluence;Jira;Github;Slack,Yes,Extremely important,Fairly important,Having a bad day (or week or month) at work;Trouble with my teammates;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Yes,No,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Windows,"10,000 or more employees",iOS;Slack Apps and Integrations,Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Express;React.js,Angular;Angular.js;ASP.NET Core,Just as welcome now as I felt last year,35,9,3
20,I am a developer by profession,Yes,40,18,NA,NA,NA,Spain,European Euro,EUR,NA,IBM DB2;MariaDB;Microsoft SQL Server;MySQL,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,NA,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go,Java;JavaScript;SQL,TensorFlow,Node.js,Github,Jira;Github,Yes,Neutral,Very important,Having a bad day (or week or month) at work;Better compensation;Better work/life balance,Personal network - friends or family,Once every few years,Not sure,No,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Meditate;Call a coworker or friend;Go for a walk or other physical activity,Windows,100 to 499 employees,NA,Heroku;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too short,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Spring,Angular.js;Spring,Just as welcome now as I felt last year,50,22,17
21,I am a student who is learning to code,Yes,23,16,NA,NA,NA,Belgium,NA,NA,Firebase;MariaDB;MongoDB,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",NA,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;C#;HTML/CSS;Java;Scala;Swift;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;Scala;SQL;Swift;TypeScript,Node.js;React Native,Node.js;React Native;Unity 3D,"Github;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Every few months,Yes,NA,Yes,NA,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,NA,Docker;Heroku;iOS;Linux;MacOS;WordPress,Android;Docker;Heroku;iOS;Linux;MacOS;WordPress,NA,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,NA,Gatsby;React.js;Spring;Vue.js,Angular;ASP.NET Core;Express;React.js;Spring,NA,NA,7,NA
